"participant","timestamp","OS","frameRate","ttotal","condition","rotation","used","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","consent","age","sex","bodylength_cm","handedness","device","cursorcontrol","needvisioncorrection","wearvisioncorrection","usedhand","reappearingcursor","comments"
"216163","2021-01-20_19h40.10.425","MacIntel",60,486.010675,3,30,TRUE,"2021-01-21 00:36:44","2021-01-21 00:49:11","IP Address",100,746,TRUE,"2021-01-21 00:49:12","I agree to participate in the study",18,"Female",152,"Right","Laptop","Trackpad","Yes","Yes","Right","Not sure",NA
"216241","2021-01-15_16h41.37.742","Win32",60,1174.562515,0,60,TRUE,"2021-01-15 21:37:51","2021-01-15 22:02:20","IP Address",100,1468,TRUE,"2021-01-15 22:02:20","I agree to participate in the study",18,"Female",152,"Right","PC","Mouse","Yes","Yes","Right","Not sure",NA
"216331","2021-01-19_20h27.56.932","Win32",60,866.67309,0,60,TRUE,"2021-01-20 01:19:17","2021-01-20 01:43:51","IP Address",100,1473,TRUE,"2021-01-20 01:43:52","I agree to participate in the study",18,"Female",155,"Right","Laptop","Trackpad","Yes","Yes","Right","No",NA
"216571","2021-01-15_20h05.06.290","MacIntel",60,1022.934,0,60,TRUE,"2021-01-16 01:02:13","2021-01-16 01:24:37","IP Address",100,1343,TRUE,"2021-01-16 01:24:37","I agree to participate in the study",24,"Female",163,"Right","PC","Mouse","No",NA,"Right","No",NA
"216586","2021-01-18_07h55.15.001","Win32",60,618.20913,2,60,TRUE,"2021-01-18 13:15:59","2021-01-18 13:19:54","IP Address",100,235,TRUE,"2021-01-18 13:19:54","I agree to participate in the study",18,"Female",165,"Right","Laptop","Mouse","Yes","Yes","Right","Not sure",NA
"216592","2021-01-16_19h03.13.759","MacIntel",60,677.923,4,30,TRUE,"2021-01-16 23:48:30","2021-01-17 00:15:31","IP Address",100,1621,TRUE,"2021-01-17 00:15:32","I agree to participate in the study",22,"Female",164,"Left","Laptop","Trackpad","Yes","Yes","Right","Not sure",NA
"216775","2021-01-18_12h32.34.943","Win32",60,557.21267,0,60,TRUE,"2021-01-18 17:25:42","2021-01-18 17:42:53","IP Address",100,1030,TRUE,"2021-01-18 17:42:53","I agree to participate in the study",20,"Male",185,"Right","PC","Mouse","Yes","Yes","Right","No",NA
"216799","2021-01-15_22h48.31.038","Win32",60,587.97995,2,30,TRUE,"2021-01-16 03:46:46","2021-01-16 03:59:45","IP Address",100,779,TRUE,"2021-01-16 03:59:46","I agree to participate in the study",29,"Female",164,"Right","Laptop","Trackpad","No",NA,"Right","Yes",NA
"216955","2021-01-18_12h32.16.255","Win32",60,1403.032755,3,60,TRUE,"2021-01-18 17:18:54","2021-01-18 17:59:44","IP Address",100,2450,TRUE,"2021-01-18 17:59:44","I agree to participate in the study",18,"Female",155,"Right","Laptop","Trackpad","Yes","Yes","Right","No",NA
"217012","2021-01-15_16h00.02.724","MacIntel",60,634.584,5,60,TRUE,"2021-01-15 20:56:52","2021-01-15 21:11:33","IP Address",100,880,TRUE,"2021-01-15 21:11:33","I agree to participate in the study",20,"Female",160,"Right","Laptop","Trackpad","Yes","Yes","Right","Not sure",NA
"217159","2021-01-20_16h13.40.893","MacIntel",60,517.10583,3,30,TRUE,"2021-01-20 21:12:03","2021-01-20 21:23:47","IP Address",100,703,TRUE,"2021-01-20 21:23:47","I agree to participate in the study",22,"Female",166,"Right","Laptop","Trackpad","No",NA,"Right","No",NA
"217303","2021-01-19_16h40.46.377","MacIntel",60,808.51225,2,60,TRUE,"2021-01-19 21:38:17","2021-01-19 21:55:46","IP Address",100,1049,TRUE,"2021-01-19 21:55:46","I agree to participate in the study",18,"Female",161,"Right","Laptop","Trackpad","No",NA,"Right","No",NA
"217315","2021-01-15_13h05.17.567","MacIntel",60,758.338,1,60,TRUE,"2021-01-15 18:03:43","2021-01-15 18:19:04","IP Address",100,920,TRUE,"2021-01-15 18:19:05","I agree to participate in the study",19,"Female",167.5,"Right","Laptop","Trackpad","No",NA,"Right","Yes",NA
"217675","2021-01-19_16h30.10.021","MacIntel",60,664.464435,1,30,TRUE,"2021-01-19 21:26:22","2021-01-19 21:42:25","IP Address",100,962,TRUE,"2021-01-19 21:42:25","I agree to participate in the study",18,"Female",157,"Right","Laptop","Trackpad","No",NA,"Right","Yes","N/A"
"217798","2021-01-17_12h05.17.868","MacIntel",60,508.739,3,30,TRUE,"2021-01-17 17:02:01","2021-01-17 17:14:43","IP Address",100,762,TRUE,"2021-01-17 17:14:43","I agree to participate in the study",18,"Female",162.5,"Left","Laptop","Trackpad","No",NA,"Right","No",NA
