"participant","trialno","rotation","target","reachdev"
216241,1,0,45,-97.0088859476462
216241,2,0,135,-1.32876626664963
216241,3,0,75,0.100216099262834
216241,4,0,105,1.86116864680546
216241,5,0,105,-2.49586023095308
216241,6,0,45,25.471940080292
216241,7,0,135,-2.71872927880673
216241,8,0,75,-12.2622776027797
216241,9,0,45,7.37630158600886
216241,10,0,105,8.27389794906223
216241,11,0,75,-4.22748529885873
216241,12,0,135,-2.6782561703901
216241,13,0,75,13.5531399688959
216241,14,0,45,0.64865222493308
216241,15,0,135,-1.73420936708818
216241,16,0,105,-17.2638495252578
216241,17,0,105,1.98061577531367
216241,18,0,75,10.3486826560554
216241,19,0,135,-17.1756365473782
216241,20,0,45,10.0230763332018
216241,21,0,45,8.58608679730752
216241,22,0,105,5.28841922038553
216241,23,0,135,-33.7097414310796
216241,24,0,75,5.94222511332391
216241,25,0,45,6.994372493036
216241,26,0,135,-6.44850398587331
216241,27,0,75,4.08385515690815
216241,28,0,105,1.61947620926254
216241,29,0,135,-4.98364118572672
216241,30,0,75,4.27334653037166
216241,31,0,45,-166.628865040395
216241,32,0,105,7.76431091612475
216241,33,60,45,-115.576544011146
216241,34,60,75,-17.4047709324503
216241,35,60,105,-6.01126381397314
216241,36,60,135,-8.36305147255835
216241,37,60,105,-23.2027280543536
216241,38,60,75,-33.5380622282758
216241,39,60,135,-16.1896751259264
216241,40,60,45,-15.3644373554124
216241,41,60,135,-12.0142164435565
216241,42,60,105,-17.9102223139066
216241,43,60,45,-19.8553879544962
216241,44,60,75,-14.725068989752
216241,45,60,135,-3.6966282289678
216241,46,60,75,-25.4018145305212
216241,47,60,105,-39.3251076240881
216241,48,60,45,-11.4682230480503
216241,49,60,75,-9.31289716119536
216241,50,60,105,-13.5561170357164
216241,51,60,135,23.4870051377885
216241,52,60,45,-29.5617173756933
216241,53,60,135,-9.02932893438347
216241,54,60,105,-12.2912906042096
216241,55,60,75,-43.3969379102451
216241,56,60,45,-37.7006038025689
216241,57,60,75,-31.2587997306336
216241,58,60,45,-26.9095106313078
216241,59,60,105,-20.2952518512598
216241,60,60,135,-30.3394006664913
216241,61,60,105,-17.7215662161571
216241,62,60,75,-24.9678411958146
216241,63,60,45,-14.9909920449227
216241,64,60,135,-19.8985629689551
216241,65,60,75,-25.8154742741642
216241,66,60,45,-31.9098945558014
216241,67,60,105,-38.3336156670923
216241,68,60,135,-8.25995856264291
216241,69,60,45,-24.5988662018184
216241,70,60,105,-26.6279213573104
216241,71,60,75,-33.9043398710942
216241,72,60,135,-30.4598147685126
216241,73,60,75,-16.3514030557582
216241,74,60,135,-16.5040753819072
216241,75,60,45,-29.4656995647202
216241,76,60,105,22.9457115156728
216241,77,60,105,-27.3498115940084
216241,78,60,75,-25.2171716231071
216241,79,60,45,-32.6735705762151
216241,80,60,135,-23.1247482746776
216241,81,60,135,-31.1871523167595
216241,82,60,105,-35.7407561808139
216241,83,60,75,-22.5985064163633
216241,84,60,45,-30.3207218907952
216241,85,60,45,-31.7695148302921
216241,86,60,75,-42.2132492531302
216241,87,60,105,-34.4359673071272
216241,88,60,135,-34.9110363293815
216241,89,60,135,-51.204760002754
216241,90,60,45,-16.5949468776718
216241,91,60,75,-29.6494407332059
216241,92,60,105,-33.3953923379845
216241,93,60,135,-17.4522956438339
216241,94,60,75,156.639296319859
216241,95,60,105,79.3004577831159
216241,96,60,45,-29.1114084362498
216241,97,60,75,-21.8069646155033
216241,98,60,105,-25.0265539605858
216241,99,60,45,163.725721331524
216241,100,60,135,-46.8198425372628
216241,101,60,135,-41.296036883346
216241,102,60,105,-46.2151558638941
216241,103,60,45,-3.30547764230422
216241,104,60,75,-17.5961341117146
216241,105,60,75,-49.6544189742035
216241,106,60,45,-21.5824742901523
216241,107,60,135,-59.2507215497768
216241,108,60,105,-46.5666536647741
216241,109,60,105,-37.4863021529402
216241,110,60,135,-43.5252145368976
216241,111,60,45,-29.3208641164828
216241,112,60,75,-38.4720642592442
216241,113,60,135,-36.7422039316402
216241,114,60,75,-34.0215227883124
216241,115,60,45,-27.2134061481496
216241,116,60,105,-20.1821578545036
216241,117,60,75,-30.3925953374049
216241,118,60,45,-30.8563469054978
216241,119,60,135,-35.676583493521
216241,120,60,105,-37.3592658321387
216241,121,60,105,-22.3695470814336
216241,122,60,45,-40.2831932883117
216241,123,60,75,-71.088620088558
216241,124,60,135,-33.5058073600056
216241,125,60,45,-40.1121930344252
216241,126,60,135,-19.5178139955357
216241,127,60,105,-38.1943575651854
216241,128,60,75,-38.5354715833149
216241,129,60,75,-52.1132267683972
216241,130,60,45,-25.3680237119128
216241,131,60,135,-78.5152525703107
216241,132,60,105,-62.7034751868754
216241,133,60,105,-66.1834144762733
216241,134,60,135,-87.5097516733559
216241,135,60,75,-42.5282704117828
216241,136,60,45,-20.4063757614461
216241,137,60,75,-53.1481043259592
216241,138,60,135,-54.7464886267698
216241,139,60,45,-46.9998124278995
216241,140,60,105,-63.6189869497417
216241,141,60,75,-50.7385736458939
216241,142,60,45,-34.2491619250554
216241,143,60,135,-46.2653467318723
216241,144,60,105,-52.0022577667266
216241,145,60,105,-58.8414315781224
216241,146,60,45,-33.305888127083
216241,147,60,135,-67.6534318198146
216241,148,60,75,-52.3956846035
216241,149,60,105,-71.2090489626556
216241,150,60,135,-94.6044321134194
216241,151,60,75,-42.7953279277277
216241,152,60,45,-26.482163122854
216241,153,60,105,-28.5907709051466
216241,154,60,75,-11.9521789312289
216241,155,60,135,-17.5338327926477
216241,156,60,45,-19.6702458918006
216241,157,60,75,-39.2197480412244
216241,158,60,105,-41.1932778948761
216241,159,60,135,-35.1698334420531
216241,160,60,45,-25.0158285799604
216241,161,60,105,-47.5110189687596
216241,162,60,75,-54.6430477423548
216241,163,60,135,-43.144814671523
216241,164,60,45,-21.6018444887556
216241,165,60,75,-11.016653051948
216241,166,60,135,-27.774332481882
216241,167,60,45,-34.9699932071147
216241,168,60,105,-37.5721488409467
216241,169,60,135,-51.5543261065633
216241,170,60,105,-51.4489439085494
216241,171,60,75,-41.6460837771874
216241,172,60,45,-26.553197695519
216241,173,60,135,-18.4894124752565
216241,174,60,105,-38.4457718488737
216241,175,60,75,-37.1151011065215
216241,176,60,45,-42.3238768536713
216241,177,60,135,-42.4367755891127
216241,178,60,105,-57.5770944284393
216241,179,60,45,-24.7918720996252
216241,180,60,75,-60.9265359483258
216241,181,60,135,-39.3592077947743
216241,182,60,105,-42.2622776027797
216241,183,60,75,-64.2037351194652
216241,184,60,45,-39.1493710188575
216241,185,60,75,-58.8071172729839
216241,186,60,135,-24.3213232805648
216241,187,60,105,-56.4737339133049
216241,188,60,45,-41.3385340712561
216241,189,60,45,-52.1277337849079
216241,190,60,75,-58.7849370981761
216241,191,60,135,-65.7941149555036
216241,192,60,105,-40.2987286117711
216241,193,-60,45,-37.635441678013
216241,194,-60,135,-10.0255045985149
216241,195,-60,105,-32.1159530426777
216241,196,-60,75,-7.01858061389122
216241,197,-60,105,-15.3687727204495
216241,198,-60,135,-18.6508205233874
216241,199,-60,45,-13.6653404473906
216241,200,-60,75,-14.1318396994117
216241,201,NA,75,-10.006398049612
216241,202,NA,105,-11.9760332908861
216241,203,NA,135,-133.042244122292
216241,204,NA,45,-17.5935035516515
216241,205,NA,75,112.411229601375
216241,206,NA,135,29.1323300586907
216241,207,NA,105,-32.5555926515956
216241,208,NA,45,-14.1737040120878
216241,209,NA,45,-19.0164735195263
216241,210,NA,105,-7.06527255863695
216241,211,NA,75,-7.76431091612476
216241,212,NA,135,-9.03310359999508
216241,213,NA,45,-16.7749651405311
216241,214,NA,135,-4.08120529170782
216241,215,NA,75,-12.6610393936894
216241,216,NA,105,-20.2603426789735
216241,217,NA,75,-10.712718887682
216241,218,NA,45,-20.1224638134468
216241,219,NA,135,-4.76428849405763
216241,220,NA,105,-29.2456608097107
216241,221,NA,75,-8.65131332664218
216241,222,NA,105,-8.4747217856684
216241,223,NA,135,-30.6160436618089
216241,224,NA,45,-25.8034924824538
216331,1,0,135,9.61659210003789
216331,2,0,105,-6.57304889287002
216331,3,0,45,7.92231215922744
216331,4,0,75,-4.00363049663498
216331,5,0,105,-2.83347217713959
216331,6,0,45,11.309922824189
216331,7,0,75,4.74315538671988
216331,8,0,135,-6.59451695737812
216331,9,0,75,-3.80380736868576
216331,10,0,45,3.42678431518645
216331,11,0,135,-9.98846736099241
216331,12,0,105,-6.8091440099198
216331,13,0,105,-2.29061731021858
216331,14,0,75,-3.05635469671294
216331,15,0,135,-0.535460113788641
216331,16,0,45,8.22096753477718
216331,17,0,75,0.57283442381967
216331,18,0,135,-1.6000258787892
216331,19,0,45,9.65712463884055
216331,20,0,105,-1.00239394546208
216331,21,0,75,1.17458681039915
216331,22,0,135,-6.20671489327899
216331,23,0,105,-9.49679885916152
216331,24,0,45,-5.49233380378639
216331,25,0,135,3.94518585250146
216331,26,0,75,3.73578681605042
